region,land_type,road_access,utilities,area_sqft,distance_to_city_km,infrastructure_score,development_potential,price
Indore,Residential,Secondary_Road,Fully_Connected,3290,3.1,5.4,9.1,2191000
Indore,Residential,Secondary_Road,Fully_Connected,2540,8.4,3.1,3.4,1106000
Pune,Commercial,Interior_Road,Not_Connected,10800,11.1,4.8,4.6,7996000
Hyderabad,Industrial,Secondary_Road,Fully_Connected,24130,12.3,7.1,6.4,38023000
Chennai,Agricultural,Secondary_Road,Not_Connected,11950,8.6,3.1,4.3,4036000
Kochi,Agricultural,Main_Road,Fully_Connected,11310,2.2,3.2,3.7,5241000
Noida_NCR,Residential,Interior_Road,Partial,5270,25.8,5.5,5.7,5145000
Ahmedabad,Residential,Interior_Road,Partial,2350,2.0,4.2,1.0,1207000
Chennai,Commercial,Main_Road,Not_Connected,9880,38.0,3.7,4.7,6350000
Noida_NCR,Residential,Secondary_Road,Fully_Connected,6650,8.9,5.0,5.5,15218000
Hyderabad,Residential,Interior_Road,Not_Connected,1750,7.6,6.5,8.1,1526000
Ahmedabad,Residential,Main_Road,Partial,1600,7.0,4.7,7.3,1565000
Bangalore_South,Residential,Main_Road,Partial,11880,52.8,4.7,5.0,9325000
Noida_NCR,Commercial,Secondary_Road,Partial,10230,9.2,6.7,7.9,33388000
Kochi,Agricultural,Main_Road,Fully_Connected,34280,9.6,4.7,3.6,12265000
Bangalore_North,Residential,Main_Road,Fully_Connected,2180,2.7,4.7,6.4,5654000
Noida_NCR,Commercial,Secondary_Road,Fully_Connected,5600,40.3,5.8,5.2,8176000
Bangalore_North,Industrial,Main_Road,Fully_Connected,7720,47.7,4.2,3.2,7898000
Ahmedabad,Agricultural,Secondary_Road,Partial,110730,0.7,5.0,5.2,29960000
Bangalore_North,Industrial,Interior_Road,Fully_Connected,10740,8.0,7.4,9.3,20845000
Indore,Commercial,Secondary_Road,Fully_Connected,17200,2.2,3.6,4.8,14852000
Bangalore_North,Industrial,Main_Road,Fully_Connected,14520,80.0,4.9,7.7,10001000
Bhopal,Residential,Interior_Road,Fully_Connected,2030,3.0,5.8,4.9,618000
Ahmedabad,Residential,Main_Road,Fully_Connected,3030,24.5,5.1,7.1,1682000
Chennai,Residential,Interior_Road,Partial,730,28.2,3.2,3.3,341000
Ahmedabad,Commercial,Secondary_Road,Fully_Connected,7350,47.9,1.0,3.0,3131000
Ahmedabad,Residential,Interior_Road,Not_Connected,3580,8.3,6.2,6.7,1630000
Indore,Residential,Main_Road,Fully_Connected,6840,1.5,4.6,6.2,3954000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,9160,1.8,5.2,6.0,11525000
Chennai,Residential,Secondary_Road,Not_Connected,8510,16.7,6.3,5.3,4309000
Bangalore_North,Residential,Main_Road,Fully_Connected,6820,26.3,4.4,6.4,10976000
Noida_NCR,Residential,Main_Road,Fully_Connected,9030,11.2,5.9,8.7,24023000
Bangalore_South,Commercial,Interior_Road,Not_Connected,7710,22.2,5.9,5.3,7961000
Chennai,Residential,Interior_Road,Not_Connected,7730,14.2,3.6,1.8,3789000
Chennai,Residential,Main_Road,Partial,1540,10.3,5.0,6.2,1497000
Pune,Residential,Interior_Road,Fully_Connected,6360,20.3,6.3,5.9,4801000
Chennai,Agricultural,Interior_Road,Partial,24980,2.2,5.7,5.8,11409000
Ahmedabad,Mixed,Interior_Road,Not_Connected,2050,3.5,6.6,7.5,1083000
Ahmedabad,Commercial,Interior_Road,Not_Connected,3640,21.9,5.7,5.3,1661000
Pune,Agricultural,Interior_Road,Fully_Connected,50250,74.9,2.9,3.6,8287000
Chennai,Industrial,Secondary_Road,Fully_Connected,10340,18.8,2.0,3.2,8078000
Indore,Mixed,Interior_Road,Fully_Connected,7660,6.9,2.9,6.2,3097000
Bangalore_North,Agricultural,No_Road,Fully_Connected,9820,32.4,6.1,6.3,4427000
Bangalore_North,Industrial,Main_Road,Partial,3650,80.0,1.4,1.1,1570000
Bangalore_North,Mixed,Main_Road,Fully_Connected,14640,8.7,5.8,4.3,36483000
Noida_NCR,Industrial,Main_Road,Fully_Connected,41210,8.8,6.9,7.0,108579000
Pune,Commercial,No_Road,Fully_Connected,3840,0.5,7.6,5.6,6427000
Ahmedabad,Residential,Secondary_Road,Fully_Connected,3990,8.6,4.2,2.6,2886000
Noida_NCR,Residential,Interior_Road,Fully_Connected,7760,2.2,6.0,7.2,13845000
Hyderabad,Commercial,Interior_Road,Fully_Connected,10730,52.4,4.3,6.0,7673000
Indore,Commercial,No_Road,Fully_Connected,8870,36.9,3.5,3.9,2451000
Ahmedabad,Commercial,Main_Road,Not_Connected,17220,2.7,4.9,5.9,22439000
Hyderabad,Commercial,Interior_Road,Fully_Connected,4800,80.0,4.6,5.5,3209000
Hyderabad,Commercial,Interior_Road,Partial,8180,16.3,4.9,6.3,11530000
Hyderabad,Industrial,Main_Road,Fully_Connected,19720,0.5,6.6,7.5,60933000
Bangalore_South,Residential,Interior_Road,Fully_Connected,3350,60.2,4.3,1.1,1650000
Bangalore_South,Residential,Secondary_Road,Fully_Connected,3100,10.6,5.3,5.3,4847000
Indore,Industrial,Secondary_Road,Fully_Connected,21200,21.8,4.7,6.1,8373000
Pune,Industrial,Secondary_Road,Fully_Connected,20560,8.3,5.7,5.4,20895000
Hyderabad,Mixed,Main_Road,Fully_Connected,3040,6.0,7.2,7.1,7510000
Ahmedabad,Industrial,Main_Road,Partial,37980,15.2,4.8,6.5,27507000
Chennai,Industrial,Main_Road,Fully_Connected,9160,3.0,5.9,6.3,16624000
Indore,Residential,Main_Road,Fully_Connected,3470,17.7,3.1,6.4,1815000
Ahmedabad,Commercial,Secondary_Road,Partial,6510,31.6,3.2,5.9,4537000
Pune,Residential,Secondary_Road,Fully_Connected,5050,4.5,7.1,6.8,10058000
Hyderabad,Agricultural,Main_Road,Fully_Connected,7420,30.5,6.0,5.9,4381000
Bhopal,Mixed,Interior_Road,Fully_Connected,10710,14.7,2.4,1.0,2993000
Noida_NCR,Residential,Interior_Road,Fully_Connected,2580,70.3,4.2,4.5,1017000
Bhopal,Commercial,Secondary_Road,Fully_Connected,18790,1.3,1.3,1.0,10529000
Bangalore_North,Residential,No_Road,Not_Connected,2930,4.3,5.6,6.3,1550000
Kochi,Residential,Secondary_Road,Not_Connected,3880,5.6,5.8,6.3,1647000
Noida_NCR,Residential,Interior_Road,Not_Connected,13880,4.9,6.5,7.6,12455000
Bangalore_North,Residential,Main_Road,Fully_Connected,3340,11.5,6.2,8.4,8461000
Chennai,Mixed,Interior_Road,Fully_Connected,13420,1.6,1.8,3.2,20455000
Noida_NCR,Commercial,No_Road,Fully_Connected,8220,33.4,5.0,8.9,6606000
Bangalore_North,Industrial,Interior_Road,Fully_Connected,27880,26.5,5.8,6.4,36272000
Pune,Agricultural,Secondary_Road,Fully_Connected,53250,11.6,5.9,4.2,26875000
Kochi,Residential,Secondary_Road,Fully_Connected,6940,34.2,4.7,4.4,2779000
Hyderabad,Residential,Secondary_Road,Fully_Connected,2560,80.0,3.0,3.5,1175000
Pune,Industrial,Interior_Road,Fully_Connected,9100,9.7,5.3,6.6,11349000
Pune,Residential,Interior_Road,Fully_Connected,2640,50.0,2.3,2.2,1177000
Hyderabad,Mixed,No_Road,Partial,6400,12.8,5.7,5.5,7265000
Indore,Residential,Secondary_Road,Fully_Connected,3470,20.3,2.2,3.3,1094000
Ahmedabad,Agricultural,Main_Road,Not_Connected,94750,32.2,1.7,2.5,14507000
Bangalore_North,Industrial,Secondary_Road,Fully_Connected,56800,9.6,4.8,6.6,85289000
Bhopal,Residential,Main_Road,Partial,2120,13.1,5.5,6.8,656000
Kochi,Residential,Main_Road,Fully_Connected,2480,5.9,4.3,6.8,2011000
Hyderabad,Mixed,Main_Road,Fully_Connected,2360,32.2,5.5,5.4,3473000
Kochi,Residential,Interior_Road,Fully_Connected,14970,6.3,4.0,6.6,8445000
Bangalore_North,Commercial,Main_Road,Fully_Connected,9900,3.6,4.2,2.9,36959000
Bhopal,Commercial,Main_Road,Partial,11190,21.6,4.5,3.1,4461000
Noida_NCR,Residential,Main_Road,Fully_Connected,1670,32.3,2.9,2.2,1775000
Noida_NCR,Agricultural,Interior_Road,Fully_Connected,49950,38.0,4.6,5.2,21958000
Bangalore_North,Agricultural,Interior_Road,Not_Connected,79070,28.8,5.3,7.5,25945000
Indore,Residential,Main_Road,Fully_Connected,3390,20.8,4.0,3.9,1460000
Bangalore_North,Industrial,Main_Road,Partial,47290,5.3,5.4,5.1,98693000
Bangalore_South,Residential,Secondary_Road,Partial,17980,33.5,2.6,3.5,14510000
Bangalore_South,Residential,Main_Road,Fully_Connected,2160,5.8,5.0,6.4,5539000
Ahmedabad,Commercial,Secondary_Road,Fully_Connected,3910,18.0,3.6,3.8,3850000
Bangalore_South,Mixed,Secondary_Road,Fully_Connected,3390,22.9,4.3,4.2,4930000
Indore,Residential,No_Road,Partial,11360,5.1,5.5,3.8,2690000
Noida_NCR,Residential,Main_Road,Fully_Connected,7880,23.5,4.4,4.2,12366000
Bangalore_North,Commercial,Interior_Road,Fully_Connected,7280,33.4,5.5,7.6,13659000
Bangalore_North,Industrial,Main_Road,Fully_Connected,20590,17.1,6.0,6.3,37662000
Bangalore_North,Residential,No_Road,Not_Connected,2350,3.1,7.5,6.1,1366000
Chennai,Residential,No_Road,Partial,7130,5.7,5.1,7.4,3766000
Ahmedabad,Agricultural,Interior_Road,Not_Connected,35520,28.4,5.0,4.6,5336000
Bangalore_South,Residential,Secondary_Road,Partial,3380,14.4,5.4,7.9,3669000
Kochi,Residential,Main_Road,Partial,5940,6.1,5.2,7.7,3264000
Bangalore_North,Residential,Interior_Road,Fully_Connected,3540,54.5,2.5,3.8,2444000
Ahmedabad,Commercial,Interior_Road,Not_Connected,6790,10.1,1.6,1.0,3224000
Indore,Commercial,Main_Road,Partial,8060,43.6,3.3,7.7,2222000
Ahmedabad,Industrial,Secondary_Road,Fully_Connected,37790,22.1,4.8,5.9,21825000
Noida_NCR,Agricultural,Secondary_Road,Partial,220050,47.4,5.5,5.4,52984000
Kochi,Agricultural,Interior_Road,Partial,84690,7.2,4.0,6.2,18107000
Bangalore_North,Mixed,Interior_Road,Fully_Connected,10110,40.4,6.7,7.7,12709000
Bangalore_South,Commercial,Secondary_Road,Fully_Connected,6960,7.5,5.3,7.7,18255000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,4870,8.7,6.7,5.7,15590000
Pune,Mixed,Main_Road,Not_Connected,9180,24.7,5.6,6.4,10280000
Ahmedabad,Residential,Secondary_Road,Fully_Connected,4470,2.6,7.2,5.3,4724000
Noida_NCR,Agricultural,Main_Road,Not_Connected,13900,10.5,6.0,7.2,9865000
Kochi,Agricultural,Interior_Road,Fully_Connected,37220,14.4,3.5,4.4,6616000
Bangalore_South,Residential,Secondary_Road,Partial,3790,65.4,1.8,3.7,1818000
Ahmedabad,Commercial,Secondary_Road,Fully_Connected,5600,5.3,6.9,6.6,9687000
Bangalore_South,Residential,Main_Road,Not_Connected,10480,42.2,5.0,5.1,6451000
Hyderabad,Residential,Main_Road,Fully_Connected,5460,16.7,6.4,5.2,6787000
Noida_NCR,Commercial,Secondary_Road,Fully_Connected,20920,80.0,7.4,8.4,17893000
Bhopal,Residential,Main_Road,Fully_Connected,4750,27.6,3.5,6.7,1568000
Noida_NCR,Industrial,Main_Road,Fully_Connected,21350,19.8,4.5,4.3,28330000
Bangalore_North,Mixed,Interior_Road,Fully_Connected,3260,35.8,4.8,6.2,4268000
Noida_NCR,Industrial,Secondary_Road,Partial,20190,0.9,5.6,6.6,40683000
Bangalore_North,Residential,Secondary_Road,Not_Connected,4030,45.4,4.2,5.0,2407000
Kochi,Residential,Secondary_Road,Partial,1640,4.5,4.2,2.7,787000
Noida_NCR,Residential,Interior_Road,Partial,2820,33.7,4.8,3.4,1969000
Bangalore_South,Residential,Main_Road,Fully_Connected,3240,19.9,3.7,3.4,5020000
Bangalore_North,Mixed,Interior_Road,Not_Connected,7850,9.8,8.0,4.4,9459000
Bangalore_South,Commercial,No_Road,Not_Connected,11050,60.1,4.1,7.0,2513000
Bhopal,Residential,Interior_Road,Fully_Connected,2740,0.5,3.9,5.3,747000
Pune,Industrial,Secondary_Road,Not_Connected,29100,10.3,6.3,6.4,25330000
Ahmedabad,Residential,Interior_Road,Fully_Connected,3550,7.6,5.5,2.6,2529000
Noida_NCR,Residential,Secondary_Road,Partial,620,6.5,6.9,4.1,924000
Chennai,Residential,Secondary_Road,Not_Connected,2920,17.2,5.7,6.0,1817000
Bangalore_South,Agricultural,Secondary_Road,Partial,132040,21.1,5.5,8.8,70526000
Indore,Industrial,Main_Road,Fully_Connected,5210,10.1,5.0,4.5,2176000
Hyderabad,Residential,Main_Road,Partial,4300,25.2,6.4,7.8,4239000
Chennai,Mixed,Secondary_Road,Fully_Connected,16810,6.1,5.5,5.1,31471000
Noida_NCR,Industrial,Main_Road,Partial,10880,71.5,3.7,4.7,5253000
Noida_NCR,Industrial,Secondary_Road,Fully_Connected,20030,1.5,8.6,9.8,47008000
Indore,Residential,Secondary_Road,Partial,1710,32.5,2.7,3.4,299000
Bangalore_South,Residential,No_Road,Not_Connected,11520,1.6,6.6,5.6,5929000
Pune,Industrial,Main_Road,Fully_Connected,18710,7.9,6.0,8.3,42916000
Pune,Residential,Secondary_Road,Fully_Connected,4120,12.4,4.6,5.3,5480000
Pune,Agricultural,Secondary_Road,Partial,169170,4.1,4.7,6.9,67133000
Bangalore_North,Agricultural,Main_Road,Fully_Connected,90680,13.3,5.5,4.8,77556000
Bangalore_North,Residential,Main_Road,Fully_Connected,2260,11.9,5.4,7.9,4424000
Hyderabad,Industrial,Main_Road,Fully_Connected,11920,27.8,3.6,4.9,16715000
Hyderabad,Mixed,Main_Road,Fully_Connected,8280,10.8,5.3,6.4,21131000
Pune,Agricultural,Main_Road,Partial,28510,11.6,5.7,6.2,14500000
Noida_NCR,Commercial,Secondary_Road,Partial,1820,8.8,8.0,6.8,5205000
Noida_NCR,Industrial,Secondary_Road,Fully_Connected,19170,80.0,4.3,5.0,9632000
Pune,Commercial,Main_Road,Fully_Connected,2840,4.7,2.5,3.1,8805000
Pune,Agricultural,Main_Road,Fully_Connected,214150,11.6,6.2,7.8,129635000
Bangalore_South,Industrial,Main_Road,Fully_Connected,23040,21.8,4.6,4.9,33786000
Chennai,Agricultural,Secondary_Road,Partial,22140,8.5,5.7,3.7,10080000
Hyderabad,Residential,Main_Road,Fully_Connected,2540,0.6,6.5,4.0,6250000
Bangalore_North,Residential,Secondary_Road,Partial,1170,19.2,5.5,3.3,1745000
Pune,Residential,Main_Road,Not_Connected,1960,11.4,5.3,6.6,1841000
Pune,Commercial,Main_Road,Partial,16300,0.5,5.8,4.3,58801000
Bangalore_South,Commercial,No_Road,Partial,38160,18.8,7.0,7.4,44147000
Chennai,Commercial,Main_Road,Fully_Connected,13300,5.6,5.3,5.9,32520000
Chennai,Residential,Main_Road,Fully_Connected,3770,23.8,5.9,6.0,3798000
Noida_NCR,Industrial,Main_Road,Fully_Connected,14160,1.0,7.9,8.2,47140000
Noida_NCR,Mixed,No_Road,Partial,3220,12.6,7.1,7.2,3515000
Noida_NCR,Residential,Secondary_Road,Not_Connected,15260,7.2,4.4,1.0,12371000
Hyderabad,Agricultural,Secondary_Road,Fully_Connected,42190,1.4,7.8,7.0,48917000
Ahmedabad,Agricultural,No_Road,Fully_Connected,335660,39.0,3.1,4.8,40743000
Chennai,Commercial,Main_Road,Fully_Connected,21220,11.6,5.9,8.6,41910000
Pune,Residential,No_Road,Partial,1290,8.3,4.4,7.6,717000
Noida_NCR,Industrial,Main_Road,Partial,11740,34.5,4.0,2.8,15157000
Hyderabad,Mixed,Secondary_Road,Partial,3880,13.4,8.3,7.3,8543000
Chennai,Agricultural,Secondary_Road,Not_Connected,46530,19.3,3.6,2.2,11322000
Ahmedabad,Mixed,Secondary_Road,Fully_Connected,5770,11.5,6.1,8.5,5694000
Kochi,Mixed,No_Road,Partial,42070,6.7,4.7,6.8,16248000
Indore,Residential,Main_Road,Partial,1990,13.3,3.5,5.0,689000
Pune,Agricultural,No_Road,Fully_Connected,61440,0.6,5.8,6.3,31098000
Chennai,Commercial,Secondary_Road,Not_Connected,12320,11.2,3.5,6.5,10189000
Ahmedabad,Mixed,Secondary_Road,Fully_Connected,5990,57.2,2.9,5.8,2314000
Hyderabad,Residential,No_Road,Partial,4300,3.1,5.1,7.3,3898000
Kochi,Commercial,Main_Road,Partial,3850,21.1,3.6,5.2,3160000
Pune,Industrial,No_Road,Not_Connected,21780,4.9,6.8,6.2,10098000
Bangalore_North,Residential,Secondary_Road,Partial,5580,46.7,4.9,6.6,4706000
Bangalore_North,Industrial,Interior_Road,Fully_Connected,25990,3.8,4.6,6.4,50334000
Kochi,Residential,Main_Road,Not_Connected,5790,5.9,5.7,5.7,2143000
Bangalore_North,Mixed,Secondary_Road,Partial,15030,19.6,5.7,5.5,20765000
Hyderabad,Industrial,Interior_Road,Partial,42320,80.0,2.6,5.5,11401000
Hyderabad,Residential,Secondary_Road,Partial,4190,6.5,7.1,9.5,7293000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,17420,31.7,4.7,4.2,14113000
Hyderabad,Residential,Main_Road,Partial,2710,10.3,4.7,4.9,3639000
Ahmedabad,Agricultural,Interior_Road,Not_Connected,41030,29.4,6.2,6.9,6201000
Bangalore_North,Agricultural,Main_Road,Fully_Connected,62750,23.3,5.5,6.6,45673000
Kochi,Industrial,Interior_Road,Fully_Connected,13640,1.0,4.7,4.5,8152000
Kochi,Residential,No_Road,Not_Connected,2180,9.4,4.0,7.6,363000
Hyderabad,Residential,Main_Road,Partial,1850,3.4,7.8,8.1,2630000
Bangalore_South,Agricultural,Main_Road,Not_Connected,11310,7.5,5.2,6.4,8162000
Chennai,Commercial,Interior_Road,Fully_Connected,6790,15.4,3.1,6.8,8054000
Bangalore_North,Commercial,Main_Road,Not_Connected,2860,4.7,5.5,5.2,7575000
Hyderabad,Residential,Secondary_Road,Fully_Connected,2090,59.8,5.7,5.9,1151000
Bhopal,Residential,Interior_Road,Partial,3100,7.2,4.9,3.6,716000
Bhopal,Industrial,Secondary_Road,Fully_Connected,6870,9.1,3.6,4.3,2336000
Ahmedabad,Residential,Secondary_Road,Partial,5120,14.4,6.3,4.2,3066000
Hyderabad,Residential,Interior_Road,Not_Connected,6470,11.0,7.0,8.0,4204000
Noida_NCR,Mixed,Secondary_Road,Partial,4200,9.8,6.1,6.9,8710000
Noida_NCR,Residential,Main_Road,Partial,3010,22.1,5.7,5.6,4295000
Hyderabad,Agricultural,Secondary_Road,Fully_Connected,81100,43.9,5.1,5.4,31069000
Noida_NCR,Residential,Interior_Road,Partial,2510,30.6,4.6,6.4,1905000
Bangalore_North,Industrial,Interior_Road,Partial,10690,4.5,6.3,4.7,13551000
Bangalore_South,Agricultural,Secondary_Road,Fully_Connected,146770,49.2,4.6,5.5,50285000
Chennai,Industrial,Main_Road,Partial,40570,22.4,2.6,4.9,28321000
Bangalore_South,Residential,Main_Road,Not_Connected,5910,47.8,4.0,2.1,2871000
Bangalore_South,Commercial,Main_Road,Partial,15290,9.4,5.4,6.8,46568000
Kochi,Agricultural,Main_Road,Partial,8440,26.7,5.0,3.0,2263000
Bhopal,Residential,No_Road,Fully_Connected,9640,2.8,1.9,3.2,1616000
Chennai,Residential,Main_Road,Partial,5160,29.2,3.9,3.0,3138000
Kochi,Residential,Interior_Road,Fully_Connected,7720,7.4,4.0,6.9,4210000
Bhopal,Mixed,Main_Road,Fully_Connected,7720,0.5,5.4,4.0,4676000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,52250,59.1,3.8,2.2,18385000
Pune,Agricultural,Secondary_Road,Fully_Connected,39030,41.2,6.4,6.7,15951000
Hyderabad,Agricultural,Main_Road,Fully_Connected,69580,5.2,7.1,6.3,91587000
Bangalore_North,Commercial,Interior_Road,Partial,6430,8.1,5.7,3.7,14342000
Ahmedabad,Commercial,No_Road,Fully_Connected,14690,26.0,4.4,5.9,7033000
Pune,Commercial,Interior_Road,Fully_Connected,2640,25.7,4.4,2.1,2704000
Pune,Agricultural,Main_Road,Fully_Connected,30710,23.6,5.9,4.6,21750000
Bangalore_South,Residential,Interior_Road,Partial,15110,1.7,4.5,4.3,18675000
Bangalore_South,Industrial,Main_Road,Fully_Connected,12120,5.0,5.0,6.7,26729000
Indore,Industrial,No_Road,Fully_Connected,16520,1.6,5.0,7.4,5739000
Bangalore_North,Residential,Secondary_Road,Partial,2250,15.7,7.3,8.8,4021000
Bangalore_South,Commercial,Main_Road,Fully_Connected,10120,0.6,3.5,4.2,36390000
Hyderabad,Residential,Main_Road,Not_Connected,2480,2.9,8.0,4.0,3062000
Pune,Mixed,Main_Road,Fully_Connected,5320,16.1,5.0,6.1,11320000
Chennai,Mixed,Main_Road,Fully_Connected,10420,2.8,3.2,6.4,22380000
Pune,Mixed,No_Road,Fully_Connected,3810,23.2,1.3,4.8,2525000
Bangalore_North,Residential,Interior_Road,Partial,6680,2.5,4.6,5.9,8962000
Bangalore_South,Residential,No_Road,Fully_Connected,6830,52.9,4.0,3.0,2805000
Kochi,Residential,Main_Road,Not_Connected,7940,3.1,4.7,4.5,3708000
Noida_NCR,Residential,Secondary_Road,Fully_Connected,4380,6.5,7.3,10.0,9013000
Noida_NCR,Residential,Main_Road,Partial,32890,0.5,6.1,4.1,57892000
Noida_NCR,Residential,Secondary_Road,Fully_Connected,7940,30.2,4.3,3.3,9479000
Ahmedabad,Mixed,Main_Road,Fully_Connected,7410,11.2,4.3,6.4,8628000
Bangalore_North,Residential,Main_Road,Fully_Connected,2260,80.0,3.3,3.7,1653000
Hyderabad,Residential,Secondary_Road,Partial,3760,2.9,6.7,4.9,5048000
Chennai,Industrial,Main_Road,Fully_Connected,62600,34.6,3.2,6.5,53127000
Hyderabad,Commercial,Secondary_Road,Not_Connected,26470,4.5,7.4,7.9,42436000
Kochi,Agricultural,Interior_Road,Partial,189150,11.7,3.7,4.0,41384000
Pune,Agricultural,Main_Road,Not_Connected,101360,6.8,4.5,3.4,32447000
Ahmedabad,Industrial,No_Road,Fully_Connected,7320,12.2,4.1,7.9,4711000
Kochi,Agricultural,Secondary_Road,Partial,77510,1.7,6.1,6.2,26339000
Pune,Commercial,Interior_Road,Partial,3360,19.2,4.9,7.5,4380000
Indore,Agricultural,Interior_Road,Partial,13110,6.3,3.5,5.8,2327000
Chennai,Commercial,Interior_Road,Not_Connected,9460,0.5,6.6,5.8,13720000
Kochi,Residential,Interior_Road,Partial,5620,4.0,7.3,6.3,2516000
Hyderabad,Commercial,Interior_Road,Not_Connected,15060,0.5,6.7,8.9,19049000
Pune,Residential,Secondary_Road,Partial,5530,3.1,7.2,9.2,7818000
Chennai,Industrial,Main_Road,Fully_Connected,30600,31.2,5.5,3.0,26532000
Bangalore_North,Residential,Main_Road,Partial,2110,8.9,5.4,6.6,4803000
Hyderabad,Residential,Secondary_Road,Fully_Connected,3740,29.2,5.4,5.6,5405000
Indore,Residential,Main_Road,Not_Connected,1500,17.4,2.3,2.1,372000
Noida_NCR,Industrial,Main_Road,Partial,4030,0.5,6.6,7.0,8437000
Bangalore_South,Residential,Main_Road,Fully_Connected,6470,60.8,3.0,2.1,3075000
Hyderabad,Agricultural,Secondary_Road,Fully_Connected,25390,10.7,5.6,5.2,18965000
Bangalore_South,Industrial,Main_Road,Fully_Connected,40190,34.5,3.9,3.5,51540000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,8220,10.6,5.7,5.2,16323000
Indore,Agricultural,Interior_Road,Fully_Connected,28640,5.1,5.0,5.4,4835000
Pune,Residential,Interior_Road,Partial,5870,25.7,4.7,3.8,3928000
Hyderabad,Residential,Main_Road,Partial,2600,58.0,1.9,5.7,1174000
Chennai,Agricultural,Secondary_Road,Not_Connected,9490,14.5,4.0,5.5,3413000
Bangalore_North,Mixed,Secondary_Road,Fully_Connected,6500,0.5,4.7,8.0,18892000
Hyderabad,Residential,Secondary_Road,Partial,2950,15.0,6.2,6.1,4476000
Noida_NCR,Commercial,Interior_Road,Fully_Connected,5880,7.4,7.1,6.1,16321000
Noida_NCR,Residential,Main_Road,Not_Connected,14440,17.0,6.5,9.2,16055000
Bhopal,Commercial,No_Road,Fully_Connected,2750,6.3,3.0,3.2,738000
Noida_NCR,Agricultural,Main_Road,Fully_Connected,70570,5.8,6.9,6.6,77703000
Pune,Agricultural,Interior_Road,Fully_Connected,20420,0.8,5.3,6.8,13232000
Ahmedabad,Agricultural,Secondary_Road,Partial,113230,0.5,3.8,2.8,38465000
Indore,Residential,Main_Road,Fully_Connected,4860,14.5,4.9,6.5,2814000
Ahmedabad,Agricultural,Interior_Road,Partial,70350,8.0,5.9,7.0,20532000
Bhopal,Agricultural,Main_Road,Partial,21360,31.9,4.1,6.8,2699000
Ahmedabad,Agricultural,Interior_Road,Partial,25100,58.0,2.1,4.8,2136000
Kochi,Residential,Secondary_Road,Fully_Connected,7310,15.7,5.7,7.9,5250000
Bangalore_North,Commercial,Main_Road,Fully_Connected,27630,19.0,5.1,5.4,61405000
Ahmedabad,Commercial,Main_Road,Fully_Connected,11200,5.6,5.8,4.8,18934000
Pune,Residential,Interior_Road,Fully_Connected,2230,10.4,4.8,8.5,2486000
Chennai,Residential,Main_Road,Partial,4990,14.6,4.7,3.0,4576000
Noida_NCR,Commercial,Interior_Road,Fully_Connected,43760,47.2,2.0,1.3,41311000
Bhopal,Agricultural,Interior_Road,Fully_Connected,54830,12.1,3.4,5.2,6656000
Bhopal,Residential,Interior_Road,Fully_Connected,10340,3.4,4.2,7.4,3086000
Hyderabad,Industrial,Main_Road,Partial,11060,11.0,5.6,6.2,20744000
Ahmedabad,Commercial,Interior_Road,Fully_Connected,7770,58.7,5.0,7.0,4046000
Ahmedabad,Agricultural,No_Road,Partial,87320,4.5,3.6,1.5,12552000
Hyderabad,Commercial,Main_Road,Fully_Connected,10570,30.3,4.6,4.5,20340000
Bangalore_North,Commercial,Main_Road,Not_Connected,4680,3.7,5.3,2.9,11345000
Bangalore_North,Agricultural,Main_Road,Partial,24130,4.3,5.7,7.2,19343000
Ahmedabad,Mixed,Secondary_Road,Fully_Connected,11410,41.0,4.8,3.0,4707000
Pune,Commercial,Interior_Road,Fully_Connected,18420,10.9,7.2,5.1,46684000
Bhopal,Commercial,Secondary_Road,Fully_Connected,23060,7.9,3.1,4.9,10767000
Pune,Agricultural,Secondary_Road,Fully_Connected,253550,7.2,4.7,6.9,109350000
Bhopal,Agricultural,Main_Road,Fully_Connected,56440,5.7,2.6,3.6,8809000
Pune,Residential,Main_Road,Not_Connected,3270,10.5,7.0,7.8,3209000
Ahmedabad,Commercial,Main_Road,Partial,20600,4.6,6.4,7.3,33480000
Bangalore_North,Commercial,Interior_Road,Fully_Connected,13180,4.8,6.2,6.0,40509000
Chennai,Mixed,Secondary_Road,Partial,3170,27.7,2.7,2.2,1742000
Ahmedabad,Commercial,Secondary_Road,Fully_Connected,3880,7.1,3.3,5.2,5563000
Indore,Commercial,Interior_Road,Not_Connected,11290,7.5,4.5,6.1,3790000
Kochi,Mixed,Main_Road,Fully_Connected,5350,38.2,4.0,6.1,2810000
Bangalore_North,Commercial,Main_Road,Partial,7850,0.7,4.0,5.3,30914000
Hyderabad,Residential,Main_Road,Partial,8030,6.8,5.8,4.3,13463000
Bangalore_North,Residential,No_Road,Fully_Connected,6550,16.0,7.8,8.5,7639000
Bangalore_North,Residential,Interior_Road,Fully_Connected,9490,45.0,4.4,5.1,8018000
Noida_NCR,Residential,Secondary_Road,Fully_Connected,1140,34.3,7.2,6.3,1178000
Noida_NCR,Commercial,Main_Road,Not_Connected,9550,47.3,5.7,5.5,9251000
